Objectives|Type of diagnosis|Source of data|Number of subjects (n)|Machine learning method(s)| Outcomes| Year| Reference
Classification of PD from MSA|Differential diagnosis|collected from participants|150; 54 HC + 65 PD + 31 MSA|SVM with leave-one-out- cross validation|MSA vs PD: accuracy = 0.79 sensitivity = 0.71 specificity = 0.86  MSA vs HC: accuracy = 0.79 sensitivity = 0.84 specificity = 0.74  MSA vs subsample of PD: accuracy = 0.84 sensitivity = 0.77 specificity = 0.90|2019|Abos et al
Classification of PD from MSA|Differential diagnosis|collected from participants|151; 59 HC + 62 PD + 30 MSA|SVM with leave-one-out- cross validation|accuracy = 77.17% sensitivity = 83.33% specificity = 74.19%|2019|Baggio et al
Classification of PD from HC|Diagnosis|collected from participants|94; 50 HC + 44 PD|CNN with 85 subjects for training and 9 for testing|training accuracy = 95.24% testing accuracy = 88.88%|2019|Banerjee et al
Classification of PD from HC|Diagnosis|collected from participants|47; 26 HC + 21 PD|SVM-linear with leave- one-out cross validation|accuracy = 93.62% sensitivity = 90.47% specificity = 96.15%|2015|Chen et al
Classification of PD from PSP|Differential diagnosis|collected from participants|78; 57 PD + 21 PSP|SVM with leave-one-out cross validation|accuracy = 100% sensitivity = 1 specificity = 1|2013|Cherubini et al
Classification of PD, MSA, PSP and HC|Diagnosis and differential diagnosis|collected from participants|106; 36 HC + 35 PD + 16 MSA + 19 PSP|Elastic Net regularized logistic regression with nested 10-fold cross validation|HC vs PD/MSA- P/PSP: AUC = 0.88 sensitivity = 0.80 specificity = 0.83 PPV = 0.82 NPV = 0.81  HC vs PD: AUC = 0.91 sensitivity = 0.86 specificity = 0.80 PPV = 0.82 NPV = 0.89  PD vs MSA/PSP: AUC = 0.94 sensitivity = 0.86 specificity = 0.87 PPV = 0.88 NPV = 0.84  PD vs MSA: AUC = 0.99 sensitivity = 0.97 specificity = 1.00 PPV = 1.00 NPV = 0.93  PD vs PSP: AUC = 0.99 sensitivity = 0.97 specificity = 1.00 PPV = 1.00 NPV = 0.94  MSA vs PSP: AUC = 0.98 sensitivity = 0.94 specificity = 1.00 PPV = 1.00 NPV = 0.93|2017|Du et al
Classification of HC, PD, MSA and PSP|Diagnosis and differential diagnosis|collected from participants|64; 22 HC + 21 PD + 11 MSA + 10 PSP| SVM-linear with leave- one-out cross validation|PD vs HC: accuracy = 41.86% sensitivity = 38.10% specificity = 45.45%  PD vs MSA: accuracy = 71.87% sensitivity = 36.36% specificity = 90.48%  PD vs PSP: accuracy = 96.77% sensitivity = 90% specificity = 100%  MSA vs PSP: accuracy = 76.19%  MSA vs HC: accuracy = 78.78% sensitivity = 54.55% specificity = 90.91%  PSP vs HC: accuracy = 93.75% sensitivity = 90.00% specificity = 95.45%|2011|Focke et al
Classification of PD and atypical PD|Differential diagnosis|collected from participants|40; 17 PD + 23 atypical PD|SVM-RBF with 10-fold cross-validation|accuracy = 97.50% TPR = 0.94 FPR = 0.00 TNR = 1.00 FNR = 0.06|2012|Haller et al
Classification of PD and other forms of Parkinsonism|Differential diagnosis|collected from participants|36; 16 PD + 20 other Parkinsonis m| SVM-RBF with 10-fold cross validation|accuracy = 86.92% TP = 0.87 FP = 0.14 TN = 0.87 FN = 0.13|2012|Haller et al
Classification of HC, PD, PSP, MSA-C and MSA-P|Diagnosis and differential diagnosis|collected from participants|464; 73 HC + 204 PD + 106 PSP + 21 MSA-C + 60 MSA-P|SVM-RBF with 10-fold cross validation|PD vs HC: sensitivity = 65.2% specificity = 67.1% accuracy = 65.7%  PD vs PSP: sensitivity = 82.5% specificity = 86.8% accuracy = 85.3%  PD vs MSA-C: sensitivity = 76.2% specificity = 96.1% accuracy = 94.2%  PD vs MSA-P: sensitivity = 86.7% specificity = 92.2% accuracy = 90.5%|2016|Huppertz et al
