Objectives|Type of diagnosis|Source of data|Number of subjects (n)|Machine learning method(s)|Outcomes|Year|Reference
Classification of PD from HC|Diagnosis|Collected from participants|103; 71 HC + 32 PD|ensemble method of 8 models (SVM, MLP, LRM, RFC, NSVC, DTC, KNN, QDA)|sensitivity = 96% specificity = 97% AUC = 0.98|2017|Adams
Classification of PD, HC and other neurological stance disorders|Diagnosis and differential diagnosis|collected from participants|293; 57 HC + 27 PD + 49 AVS + 12 PNP + 48 CA + 16 DN + 25 OT + 59 PPV|ensemble method of 7 models (logistic regression, KNN, shallow and deep ANNs, SVM, random forest, extra-randomized trees) with 90% training and 10% testing data in stratified k-fold cross- validation|8-class classification accuracy = 82.7%|2019|Ahmadi et al
Classification of PD from HC|Diagnosis|collected from participants|137; 38 HC + 99 PD|SVM with leave-one-out- cross validation|PD vs HC accuracy = 92.3% mild vs severe accuracy = 89.8% mild vs HC accuracy = 85.9%|2016|Bernad-Elazari et al
Classification of PD from HC|Diagnosis|collected from participants|30; 14 HC + 16 PD|SVM (linear, quadratic, cubic, Gaussian kernels), ANN, with 5- fold cross-validation|classification with ANN: accuracy = 89.4% sensitivity = 87.0% specificity = 91.8% severity assessment with ANN: accuracy = 95.0% sensitivity = 90.0% specificity = 99.0%|2019|Boungiorno et al
Classification  of PD from HC|Diagnosis|collected from participants|28; 12 HC + 16 PD|NN with a train- validation-test ratio of 70:15:15, SVM with leave-one-out cross- validation, logistic regression with 10-fold cross validation|SVM: accuracy = 85.71% sensitivity = 83.5% specificity = 87.5%|2017|Butt et al
Classification of PD from HC|Diagnosis|collected from participants|28; 12 HC + 16 PD|logistic regression, naïve Bayes, SVM with 10-fold cross validation|naïve Bayes: accuracy = 81.45% sensitivity = 76% specificity = 86.5% AUC = 0.811|2018|Butt et al
Classification of PD from HC|Diagnosis|collected from participants|54; 27 HC + 27 PD|naïve Bayes, LDA, KNN, decision tree, SVM- linear, SVM-rbf, majority of votes with 5-fold cross validation|majority of votes (weighted) accuracy = 96%|2018|Caramia et al
Classification of PD, HC and PD, HC, IH|Diagnosis|collected from participants|90; 30 PD + 30 HC + 30 IH|SVM, random forest, naïve Bayes with 10-fold cross validation|random forest: HC vs PD: accuracy = 0.950 F-measure = 0.947 HC + IH vs PD: accuracy = 0.917 F-measure = 0.912 HC vs IH vs PD: accuracy = 0.789 F-measure = 0.796|2019|Cavallo et al
Classification of PD from HC and classification of HC, MCI, PDNOMCI, and PDMCI|Diagnosis, differential diagnosis and subtyping|collected from participants|PD vs HC: 75; 50 HC + 25 PD subtyping: 52; 18 HC + 16 PDNOMCI + 9 PDMCI + 9 MCI|decision tree, naïve Bayes, random forest, SVM, adaptive boosting (with decision tree or random forest) with 10- fold cross validation|adaptive boosting with decision tree: PD vs HC: accuracy = 0.79 AUC = 0.82 subtyping (HOA vs MCI vs PDNOMCI vs PDMCI): accuracy = 0.85 AUC = 0.96|2015|Cook et al
Classification of PD from HC|Diagnosis|collected from participants|580; 424 HC + 156 PD|hidden Markov models with nearest neighbor classifier with cross validation and train-test ratio of 66.6:33.3|accuracy = 85.51%|2017|Cuzzolin et al
