Objectives|Type of diagnosis|"Source of
Data"|"Number of
subjects (n)"|"Machine learning
method(s) "|Outcomes|Training accuracy|Training sensitivity|Training MCC|Ensembe classification accuracy|Accuracy|Sensitivity|Precision|F-measure|Specificity|AUC|Kappa|G-mean|Recall|NPV|FNR|FPR|PE|MCC|MSE|EER|Error rate|Error rate(spread parameter = 195.1189)|Error rate(spread parameter = 1.2)|Error rate(spread parameter = 364.8)|ML|Train|Validation|Test|Year|Reference
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|Fuzzy neural system with 10-fold cross validation|testing accuracy = 100% |||||1||||||||||||||||||||||||2016|Abiyev and Abizade
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|RPART, C4.5, PART, Bagging CART, random forest, Boosted C5.0, SVM|SVM: accuracy = 97.57% sensitivity = 0.9756 specificity = 0.9987 NPV = 0.9995 |||||0.98|0.98|||1|||||1|||||||||||SVM||||2019|Aich et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|DBN of 2 RBMs|testing accuracy = 94% |||||0.94||||||||||||||||||||||||2016|Al-Fatlawi et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|EFMM-OneR with 10- fold cross validation or 5-fold cross validation|Accuracy = 94.21%|||||0.94||||||||||||||||||||||||2019|Al-Sayaydeha and Mohammad
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|linear regression, LDA, Gaussian naïve Bayes, decision tree, KNN, SVM-linear, SVM-RBF with leaveone-subject-out cross validation|logistic regression or SVM-linear accuracy = 70%|||||0.7||||||||||||||||||||logistic regression/SVM-linear||||2019|Ali et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|LDA-NN-GA with leave-one-subject-out cross validation|Training: accuracy = 95% sensitivity = 95% Test: accuracy = 100% sensitivity = 100%|0.95|0.95|||1|1|||||||||||||||||||||||2019|Ali et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|NNge with AdaBoost with 10-fold cross validation |Accuracy = 96.30%|||||0.96||||||||||||||||||||||||2018|Alqahtani et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|logistic regression, KNN, naïve Bayes, SVM, decision tree, random forest, DNN with 10-fold cross validation (deep NN)|KNN accuracy = 95.513% |||||0.96||||||||||||||||||||||||2018|Anand et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|31; 8 HC + 23 PD|MLP with a trainvalidation-test ratio of 50:20:30|training accuracy = 97.86% test accuracy = 92.96% MSE = 0.03552|0.98||||0.93||||||||||||||0.04|||||||50|20|30|2012|Bakar et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|99; 28 HC + 71 PD|FKNN, SVM, KELM with 10-fold cross validation|FKNN accuracy = 97.89%|||||0.98||||||||||||||||||||FKNN||||2018|Cai et al
Classification of PD from HC|Diagnosis|UCI machine learning repository|40; 20 HC + 20 PD|SVM, logistic regression, ET, gradient boosting, random forest with train-test split ratio = 80:20|logistic regression accuracy = 76.03%|||||0.76||||||||||||||||||||logistic regression|80||20|2019|Celik and Omurca
