Objectives|Type of diagnosis|Source of data|Type of data|Number of subjects (n)|Machine learning method(s)|Outcomes|Year|Reference
Classification of PD from HC|Diagnosis|HandPD|handwritte n patterns|92; 18 HC + 74 PD|LDA, KNN, Gaussian naïve Bayes, decision tree, Chi2 with Adaboost with 5- or 4-fold stratified cross validation|Chi-2 with Adaboost: accuracy = 76.44% sensitivity = 70.94% specificity = 81.94%|2019|Ali et al
Classification of PD (PD + SWEDD) from HC|Diagnosis|PPMI database|more than one|388; 194 HC + 168 PD + 26 SWEDD|ensemble method of several SVM with linear kernel with leave-one-out cross validation|accuracy = 94.38%|2018|Castillo- Barnes et al
Classification of PD from HC|Diagnosis|PPMI database|more than one|586; 184 HC + 402 PD|MLP, BayesNet, random forest, boosted logistic regression with a train-test ratio of 70:30|boosted logistic regression: accuracy = 97.159% AUC curve = 98.9%|2016|Challa et al
Classification of tPD from rET|Differential diagnosis|collected from participants|more than one|30; 15 tPD + 15rET|multi-kernel SVM with leave-one-out cross validation|accuracy = 100%|2014|Cherubini et al
Classfication of PD, HC and atypical PD|Diagnosis, differential diagnosis and subtyping|PPMI database and SNUH cohort|SPECT imaging data|PPMI: 701; 193 HC + 431 PD + 77 SWEDD snuh: 82 PD|CNN with train- validation ratio of 90:10|PPMI: accuracy = 96.0% sensitivity = 94.2% specificity = 100% SNUH: accuracy = 98.8% sensitivity = 98.6% specificity = 100%|2017|Choi et al
Classification of PD from HC|Diagnosis|collected from participants|other|270; 120 HC + 150 PD|random forest|classification error = 49.6% (rs11240569) classification error = 44.8% (rs708727) classification error = 49.3% (rs823156)|2019|Cibulka et al
Classification of PD from HC|Diagnosis|HandPD|handwritte n patterns|92; 18 HC + 74 PD|naïve Bayes, OPF, SVM with cross- validation|SVM-RBF accuracy = 85.54%|2018|de Souza et al
Classification of PD from HC|Diagnosis|PPMI database|more than one|1194; 816 HC + 378 PD|BoostPark|accuracy = 0.901 AUC-ROC = 0.977 AUC-PR = 0.947 F1-score = 0.851|2017|Dhami et al
Classification of PD and HC, and PD + SWEDD and HC|Diagnosis|PPMI database|more than one|430; 127 HC + 263 PD + 40 SWEDD|AdaBoost, SVM, naïve Bayes, decision tree, KNN, K-Means with 5-fold cross validation|PD vs HC (adaboost): accuracy = 0.98954704 sensitivity = 0.97831978 specificity = 0.99796748 PPV = 0.99723757 NPV = 0.98396794 LOR = 10.0058805 PD + SWEDD vs HC (adaboost): accuracy = 0.9825784 sensitivity = 0.97560976 specificity = 0.98780488 PPV = 0.98360656 NPV = 0.98181818 LOR = 8.08332861|2016|Dinov et al
Classification of PD from HC|Diagnosis|collected from participants|CSF|cohort 1: 160; 80 HC + 80 PD  cohort 2: 60; 30 HC + 30 PD|Elastic Net and gradient boosted regression with 10-fold cross validation|ensemble of 60 decision trees identified with gradient boosted model: sensitivity = 85% specificity = 75% PPV = 77% NPV = 83% AUC = 0.77|2018|Dos Santos et al
